"id","name","department","state"
"971","Tello","13","1"
"972","Tena","11","1"
"973","Tenerife","15","1"
"974","Tenjo","11","1"
"975","Tenza","5","1"
"976","Teorama","18","1"
"977","Teruel","13","1"
"978","Tesalia","13","1"
"979","Tibacuy","11","1"
"980","Tibaná","5","1"
"981","Tibasosa","5","1"
"982","Tibirita","11","1"
"983","Tibú","18","1"
"984","Tierralta","10","1"
"985","Timaná","13","1"
"986","Timbiquí","8","1"
"987","Timbío","8","1"
"988","Tinjacá","5","1"
"989","Tipacoque","5","1"
"990","Tiquisio (Puerto Rico)","4","1"
"991","Titiribí","1","1"
"992","Toca","5","1"
"993","Tocaima","11","1"
"994","Tocancipá","11","1"
"995","Toguí","5","1"
"996","Toledo","1","1"
"997","Toledo","18","1"
"998","Tolú","22","1"
"999","Tolú Viejo","22","1"
"1000","Tona","21","1"
"1001","Topagá","5","1"
"1002","Topaipí","11","1"
"1003","Toribío","8","1"
"1004","Toro","24","1"
"1005","Tota","5","1"
"1006","Totoró","8","1"
"1007","Trinidad","26","1"
"1008","Trujillo","24","1"
"1009","Tubará","2","1"
"1010","Tuchín","10","1"
"1011","Tulúa","24","1"
"1012","Tumaco","17","1"
"1013","Tunja","5","1"
"1014","Tunungua","5","1"
"1015","Turbaco","4","1"
"1016","Turbaná","4","1"
"1017","Turbo","1","1"
"1018","Turmequé","5","1"
"1019","Tuta","5","1"
"1020","Tutasá","5","1"
"1021","Támara","26","1"
"1022","Támesis","1","1"
"1023","Túquerres","17","1"
"1024","Ubalá","11","1"
"1025","Ubaque","11","1"
"1026","Ubaté","11","1"
"1027","Ulloa","24","1"
"1028","Une","11","1"
"1029","Unguía","12","1"
"1030","Unión Panamericana (ÁNIMAS)","12","1"
"1031","Uramita","1","1"
"1032","Uribe","16","1"
"1033","Uribia","14","1"
"1034","Urrao","1","1"
"1035","Urumita","14","1"
"1036","Usiacuri","2","1"
"1037","Valdivia","1","1"
"1038","Valencia","10","1"
"1039","Valle de San José","21","1"
"1040","Valle de San Juan","23","1"
"1041","Valle del Guamuez","27","1"
"1042","Valledupar","9","1"
"1043","Valparaiso","1","1"
"1044","Valparaiso","7","1"
"1045","Vegachí","1","1"
"1046","Venadillo","23","1"
"1047","Venecia","1","1"
"1048","Venecia (Ospina Pérez)","11","1"
"1049","Ventaquemada","5","1"
"1050","Vergara","11","1"
"1051","Versalles","24","1"
"1052","Vetas","21","1"
"1053","Viani","11","1"
"1054","Vigía del Fuerte","1","1"
"1055","Vijes","24","1"
"1056","Villa Caro","18","1"
"1057","Villa Rica","8","1"
"1058","Villa de Leiva","5","1"
"1059","Villa del Rosario","18","1"
"1060","Villagarzón","27","1"
"1061","Villagómez","11","1"
"1062","Villahermosa","23","1"
"1063","Villamaría","6","1"
"1064","Villanueva","4","1"
"1065","Villanueva","14","1"
"1066","Villanueva","21","1"
"1067","Villanueva","26","1"
"1068","Villapinzón","11","1"
"1069","Villarrica","23","1"
"1070","Villavicencio","16","1"
"1071","Villavieja","13","1"
"1072","Villeta","11","1"
"1073","Viotá","11","1"
"1074","Viracachá","5","1"
"1075","Vista Hermosa","16","1"
"1076","Viterbo","6","1"
"1077","Vélez","21","1"
"1078","Yacopí","11","1"
"1079","Yacuanquer","17","1"
"1080","Yaguará","13","1"
"1081","Yalí","1","1"
"1082","Yarumal","1","1"
"1083","Yolombó","1","1"
"1084","Yondó (Casabe)","1","1"
"1085","Yopal","26","1"
"1086","Yotoco","24","1"
"1087","Yumbo","24","1"
"1088","Zambrano","4","1"
"1089","Zapatoca","21","1"
"1090","Zapayán (PUNTA DE PIEDRAS)","15","1"
"1091","Zaragoza","1","1"
"1092","Zarzal","24","1"
"1093","Zetaquirá","5","1"
"1094","Zipacón","11","1"
"1095","Zipaquirá","11","1"
"1096","Zona Bananera (PRADO - SEVILLA)","15","1"
"1097","Ábrego","18","1"
"1098","Íquira","13","1"
"1099","Úmbita","5","1"
"1100","Útica","11","1"
